DateTime,AddedIPs,RemovedIPs
1588966321,14,6
1588966921,3,0
1588968121,18,1
1588969321,6,7
1588970522,12,31
1588971122,3,0
1588971721,3,17
1588972922,11,13
1588974121,6,8
1588975322,15,14
1588975922,4,14
1588976522,5,0
1588977721,5,30
1588978321,2,0
1588979521,8,15
1588980121,4,3
1588980721,2,0
1588981321,4,0
1588982522,6,12
1588983121,9,10
1588984321,1,11
1588984921,2,0
1588985521,1,0
1588986721,7,5
1588987922,1,21
1588988320,1,25
1588989024,19,0
1588989121,2,0
1588990321,7,12
1588990921,4,0
1588992121,3,13
1588993321,4,7
1588994522,6,20
1588995121,5,0
1588995721,2,22
1588996921,1,12
1588997522,3,15
1588998122,3,0
1588999321,7,27
1588999921,2,0
1589001721,7,13
1589002921,3,19
1589004721,1,14
1589005321,2,0
1589006522,5,27
1589007122,80,17
1589007721,6,13
1589008921,2,2
1589010121,5,19
1589011321,9,42
1589011922,2,0
1589012521,6,0
1589013721,3,15
1589014322,7,0
1589014922,0,14
1589015521,4,4
1589016121,2,3
1589017321,3,23
1589017921,4,3
1589018521,1,6
1589019122,1,0
1589019722,0,7
1589020321,3,6
1589020921,2,0
1589021522,1,14
1589022121,4,4
1589023321,5,14
1589023921,5,0
1589025121,4,28
1589026321,3,110
1589026921,40,25
1589027521,1,19
1589028121,6,0
1589028721,7,18
1589029322,1,61
1589030521,40,19
1589031721,10,44
1589032321,40,0
1589032921,3,45
1589034122,6,0
1589034721,2,43
1589035321,11,18
1589035921,3,0
1589036521,5,29
1589037122,2,0
1589037722,4,31
1589038321,1,0
1589038921,2,28
1589039521,5,0
1589040122,1,21
1589041321,6,0
1589042521,1,53
1589043122,3,0
1589043722,12,11
1589044321,5,14
1589044921,1,0
1589045521,5,15
1589046121,5,34
1589046721,2,0
1589047321,5,0
1589047921,5,14
1589049121,6,33
1589049721,8,17
1589050321,8,0
1589050921,2,26
1589052122,8,17
1589053321,4,34
1589054521,7,22
1589055121,6,30
1589055722,6,0
1589056321,5,0
1589057521,4,19
1589058121,4,0
1589059321,5,26
1589060521,10,14
1589061721,6,12
1589062321,3,0
1589062921,1,22
1589064121,11,0
1589065321,9,15
1589066521,15,22
1589067721,20,22
1589068921,7,16
1589070121,6,25
1589070721,8,0
1589071321,3,11
1589071921,7,35
1589072521,11,0
1589073721,13,10
1589074922,14,29
1589076121,9,20
1589077321,4,12
1589077922,6,0
1589078521,6,9
1589079121,5,0
1589079721,8,0
1589080921,6,15
1589081521,7,12
1589082722,11,8
1589083321,6,1
1589084522,17,26
1589085721,4,7
1589086321,5,6
1589086921,5,0
1589088121,35,25
1589089321,16,0
1589090522,9,12
1589091721,17,29
1589092921,13,8
1589093522,5,69
1589094121,3,0
1589094721,5,24
1589095321,2,2
1589096522,11,14
1589097722,6,0
1589098922,7,7
1589100121,6,6
1589100721,4,6
1589101321,2,0
1589101922,3,4
1589102521,1,19
1589103121,1,0
1589103721,2,0
1589104921,6,1
1589105521,4,13
1589106121,2,0
1589107321,12,5
1589107922,1,7
1589108521,8,3
1589109121,98,0
1589109722,6,0
1589110321,6,14
1589110922,2,14
1589111522,9,7
1589112121,8,0
1589112722,10,0
1589113921,7,56
1589114521,5,0
1589115121,9,0
1589115721,2,17
1589117521,21,4
1589118122,12,0
1589118721,5,5
1589119322,5,21
1589119921,8,6
1589121121,12,12
1589122321,6,10
1589122921,7,9
1589123522,5,7
1589124121,9,0
1589124721,6,0
1589125322,5,3
1589125922,11,6
1589127121,13,8
1589127722,6,14
1589128321,5,0
1589128921,1,0
1589129521,3,0
1589130721,16,17
1589131321,87,12
1589132521,27,7
1589133121,6,13
1589133721,28,8
1589134321,26,9
1589135521,20,0
1589136121,21,7
1589137322,14,16
1589137921,9,7
1589139121,4,8
1589139722,8,0
1589140321,6,7
1589140921,2,3
1589142121,1,0
1589142722,8,5
1589143321,12,5
1589144522,2,19
1589145722,2,0
1589146921,9,9
1589147521,2,14
1589148121,5,1
1589148721,4,0
1589149321,10,0
1589149921,3,8
1589151121,6,12
1589151721,6,13
1589152921,2,0
1589154122,15,19
1589155921,13,17
1589156521,5,0
1589157721,19,6
1589158321,11,0
1589158922,4,10
1589160121,13,11
1589161321,8,0
1589161921,4,22
1589162521,9,0
1589163121,6,8
1589164322,10,8
1589165521,3,11
1589166722,10,12
1589167321,3,5
1589168521,15,9
1589169721,9,17
1589170922,9,6
1589172122,10,0
1589172721,7,23
1589173921,8,33
1589175121,4,0
1589176321,40,12
1589176921,7,0
1589178122,15,19
1589178721,10,0
1589179322,7,0
1589180522,6,10
1589181721,7,5
1589182321,7,11
1589183521,1,10
1589184122,7,7
1589185321,7,14
1589185921,1,0
1589186521,6,6
1589187121,7,0
1589187722,2,13
1589188321,8,6
1589189521,11,0
1589190121,0,8
1589191321,4,0
1589191921,2,3
1589192522,13,17
1589193721,9,0
1589194322,3,0
1589194921,3,5
1589195521,1,46
1589196121,4,42
1589196721,1,25
1589197321,2,6
1589198521,6,2
1589199721,7,19
1589200321,7,0
1589200921,3,5
1589201522,3,9
1589202121,7,0
1589202721,6,11
1589203322,7,0
1589203921,5,13
1589205122,19,20
1589205722,3,9
1589206321,16,0
1589207521,20,25
1589208722,16,0
1589209321,14,7
1589210521,14,15
1589211721,12,21
1589212921,18,13
1589213521,20,7
1589214121,28,0
1589214721,37,14
1589215321,26,0
1589215922,7,26
1589216522,38,0
1589217121,17,0
1589217721,30,27
1589218321,14,0
1589218921,6,88
1589219521,1,1
1589220122,3,3
1589220721,3,11
1589221321,9,8
1589222521,13,15
1589223721,25,0
1589224922,33,4
1589225521,5,0
1589226122,35,3
1589227321,35,1
1589227922,4,0
1589228522,31,1
1589229121,20,8
1589230321,34,0
1589230921,22,2
1589231521,17,0
1589232121,22,0
1589232722,9,24
1589233321,12,14
1589234521,31,0
1589235121,22,5
1589236322,25,5
1589236921,10,8
1589238122,21,2
1589239321,5,12
1589239922,10,0
1589240521,19,8
1589241721,16,0
1589242921,14,11
1589244122,23,0
1589244722,3,14
1589245321,12,0
1589246522,17,11
1589247121,25,4
1589247721,13,0
1589248322,6,14
1589248921,18,0
1589249521,13,0
1589250721,22,7
1589251321,10,3
1589252521,12,2
1589253721,25,4
1589254321,5,14
1589254921,9,5
1589255521,6,2
1589257321,3,2
1589257921,2,0
1589259121,3,0
1589259721,2,0
1589260921,7,6
1589262121,14,5
1589263321,3,38
1589264521,6,6
1589265121,1,17
1589266322,23,1
1589267522,5,8
1589268721,13,5
1589269322,7,4
1589270521,11,2
1589271721,9,2
1589272322,10,0
1589272921,8,2
1589274121,10,6
1589275321,12,5
1589275922,2,9
1589276521,9,1
1589277121,4,2
1589277721,8,0
